id,item_id,page_number,title,loc_page_url,image,transcript,automatic_format_checks_passed,loc_review_flags,human_review_required
mss246610001_page_0001,mss246610001,1,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=1&st=image,pages/mss246610001_page_0001.jpg,pages/mss246610001_page_0001.txt,True,,True
mss246610001_page_0002,mss246610001,2,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=2&st=image,pages/mss246610001_page_0002.jpg,pages/mss246610001_page_0002.txt,True,,True
mss246610001_page_0003,mss246610001,3,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=3&st=image,pages/mss246610001_page_0003.jpg,pages/mss246610001_page_0003.txt,True,,True
mss246610001_page_0004,mss246610001,4,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=4&st=image,pages/mss246610001_page_0004.jpg,pages/mss246610001_page_0004.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0005,mss246610001,5,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=5&st=image,pages/mss246610001_page_0005.jpg,pages/mss246610001_page_0005.txt,True,,True
mss246610001_page_0006,mss246610001,6,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=6&st=image,pages/mss246610001_page_0006.jpg,pages/mss246610001_page_0006.txt,True,,True
mss246610001_page_0007,mss246610001,7,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=7&st=image,pages/mss246610001_page_0007.jpg,pages/mss246610001_page_0007.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0008,mss246610001,8,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=8&st=image,pages/mss246610001_page_0008.jpg,pages/mss246610001_page_0008.txt,True,,True
mss246610001_page_0009,mss246610001,9,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=9&st=image,pages/mss246610001_page_0009.jpg,pages/mss246610001_page_0009.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0010,mss246610001,10,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=10&st=image,pages/mss246610001_page_0010.jpg,pages/mss246610001_page_0010.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0011,mss246610001,11,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=11&st=image,pages/mss246610001_page_0011.jpg,pages/mss246610001_page_0011.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0012,mss246610001,12,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=12&st=image,pages/mss246610001_page_0012.jpg,pages/mss246610001_page_0012.txt,True,,True
mss246610001_page_0013,mss246610001,13,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=13&st=image,pages/mss246610001_page_0013.jpg,pages/mss246610001_page_0013.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0014,mss246610001,14,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=14&st=image,pages/mss246610001_page_0014.jpg,pages/mss246610001_page_0014.txt,True,,True
mss246610001_page_0015,mss246610001,15,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=15&st=image,pages/mss246610001_page_0015.jpg,pages/mss246610001_page_0015.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0016,mss246610001,16,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=16&st=image,pages/mss246610001_page_0016.jpg,pages/mss246610001_page_0016.txt,True,,True
mss246610001_page_0017,mss246610001,17,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=17&st=image,pages/mss246610001_page_0017.jpg,pages/mss246610001_page_0017.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0018,mss246610001,18,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=18&st=image,pages/mss246610001_page_0018.jpg,pages/mss246610001_page_0018.txt,True,,True
mss246610001_page_0019,mss246610001,19,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=19&st=image,pages/mss246610001_page_0019.jpg,pages/mss246610001_page_0019.txt,True,,True
mss246610001_page_0020,mss246610001,20,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=20&st=image,pages/mss246610001_page_0020.jpg,pages/mss246610001_page_0020.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0021,mss246610001,21,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=21&st=image,pages/mss246610001_page_0021.jpg,pages/mss246610001_page_0021.txt,True,,True
mss246610001_page_0022,mss246610001,22,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=22&st=image,pages/mss246610001_page_0022.jpg,pages/mss246610001_page_0022.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0023,mss246610001,23,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=23&st=image,pages/mss246610001_page_0023.jpg,pages/mss246610001_page_0023.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0024,mss246610001,24,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=24&st=image,pages/mss246610001_page_0024.jpg,pages/mss246610001_page_0024.txt,True,,True
mss246610001_page_0025,mss246610001,25,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=25&st=image,pages/mss246610001_page_0025.jpg,pages/mss246610001_page_0025.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0026,mss246610001,26,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=26&st=image,pages/mss246610001_page_0026.jpg,pages/mss246610001_page_0026.txt,True,,True
mss246610001_page_0027,mss246610001,27,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=27&st=image,pages/mss246610001_page_0027.jpg,pages/mss246610001_page_0027.txt,True,,True
mss246610001_page_0028,mss246610001,28,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=28&st=image,pages/mss246610001_page_0028.jpg,pages/mss246610001_page_0028.txt,True,,True
mss246610001_page_0029,mss246610001,29,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=29&st=image,pages/mss246610001_page_0029.jpg,pages/mss246610001_page_0029.txt,True,,True
mss246610001_page_0030,mss246610001,30,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=30&st=image,pages/mss246610001_page_0030.jpg,pages/mss246610001_page_0030.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0031,mss246610001,31,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=31&st=image,pages/mss246610001_page_0031.jpg,pages/mss246610001_page_0031.txt,True,,True
mss246610001_page_0032,mss246610001,32,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=32&st=image,pages/mss246610001_page_0032.jpg,pages/mss246610001_page_0032.txt,True,possible_line_broken_word_requires_visual_review,True
mss246610001_page_0033,mss246610001,33,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=33&st=image,pages/mss246610001_page_0033.jpg,pages/mss246610001_page_0033.txt,True,,True
mss246610001_page_0034,mss246610001,34,"Charles Hamlin Papers: Charles S. Hamlin Diaries, 1887-1937; 1887, Mar. 12 - 1910, Sept. 1",https://www.loc.gov/resource/mss24661m.mss24661-001_0027_0248?sp=34&st=image,pages/mss246610001_page_0034.jpg,pages/mss246610001_page_0034.txt,True,possible_line_broken_word_requires_visual_review,True
